BalanceID,StoreID,VariantID,ProductID,BalanceMonth,OpeningQty,ReceivedQty,SoldQty,ReturnedQty,AdjustedQty,ClosingQty,DaysOutOfStock,DaysBelowShelfMin
ST001-V00002-202501,ST001,V00002,P0001,2025-01-01,2,0,0,0,0,2,0,0
ST001-V00002-202502,ST001,V00002,P0001,2025-02-01,2,0,0,0,0,2,0,0
ST001-V00002-202503,ST001,V00002,P0001,2025-03-01,2,0,0,0,0,2,0,0
ST001-V00002-202504,ST001,V00002,P0001,2025-04-01,2,1,1,0,0,2,0,0
ST001-V00002-202505,ST001,V00002,P0001,2025-05-01,2,0,0,0,0,2,0,0
ST001-V00002-202506,ST001,V00002,P0001,2025-06-01,2,1,1,0,0,2,0,0
ST001-V00002-202507,ST001,V00002,P0001,2025-07-01,2,1,1,0,0,2,0,0
ST001-V00002-202508,ST001,V00002,P0001,2025-08-01,2,1,1,1,0,3,0,0
ST001-V00002-202509,ST001,V00002,P0001,2025-09-01,3,0,0,0,-2,1,0,0
ST001-V00002-202510,ST001,V00002,P0001,2025-10-01,1,1,0,0,0,2,0,0
ST001-V00002-202511,ST001,V00002,P0001,2025-11-01,2,0,0,0,0,2,0,0
ST001-V00002-202512,ST001,V00002,P0001,2025-12-01,2,2,0,0,0,4,0,0
ST001-V00002-202601,ST001,V00002,P0001,2026-01-01,4,0,0,0,0,4,0,0
ST001-V00002-202602,ST001,V00002,P0001,2026-02-01,4,0,0,0,0,4,0,0
ST001-V00002-202603,ST001,V00002,P0001,2026-03-01,4,0,0,0,0,4,0,0
ST001-V00002-202604,ST001,V00002,P0001,2026-04-01,4,0,0,0,0,4,0,0
ST001-V00002-202605,ST001,V00002,P0001,2026-05-01,4,0,0,0,0,4,0,0
ST001-V00002-202606,ST001,V00002,P0001,2026-06-01,4,0,0,0,0,4,0,0
ST001-V00002-202607,ST001,V00002,P0001,2026-07-01,4,0,0,0,-1,3,0,0
ST001-V00002-202608,ST001,V00002,P0001,2026-08-01,3,0,0,0,0,3,0,0
ST001-V00003-202501,ST001,V00003,P0001,2025-01-01,2,0,0,0,0,2,0,0
ST001-V00003-202502,ST001,V00003,P0001,2025-02-01,2,0,0,0,-1,1,0,0
ST001-V00003-202503,ST001,V00003,P0001,2025-03-01,1,1,0,0,0,2,0,0
ST001-V00003-202504,ST001,V00003,P0001,2025-04-01,2,0,2,0,0,0,4,4
ST001-V00003-202505,ST001,V00003,P0001,2025-05-01,0,2,0,0,0,2,10,10
ST001-V00003-202506,ST001,V00003,P0001,2025-06-01,2,2,1,1,-2,2,0,0
ST001-V00003-202507,ST001,V00003,P0001,2025-07-01,2,0,1,0,0,1,0,0
ST001-V00003-202508,ST001,V00003,P0001,2025-08-01,1,4,0,0,0,5,0,0
ST001-V00003-202509,ST001,V00003,P0001,2025-09-01,5,0,0,0,0,5,0,0
ST001-V00003-202510,ST001,V00003,P0001,2025-10-01,5,1,0,0,0,6,0,0
ST001-V00003-202511,ST001,V00003,P0001,2025-11-01,6,0,1,0,0,5,0,0
ST001-V00003-202512,ST001,V00003,P0001,2025-12-01,5,1,0,0,0,6,0,0
ST001-V00003-202601,ST001,V00003,P0001,2026-01-01,6,1,0,0,0,7,0,0
ST001-V00003-202602,ST001,V00003,P0001,2026-02-01,7,0,0,0,0,7,0,0
ST001-V00003-202603,ST001,V00003,P0001,2026-03-01,7,0,0,0,0,7,0,0
ST001-V00003-202604,ST001,V00003,P0001,2026-04-01,7,0,0,0,0,7,0,0
ST001-V00003-202605,ST001,V00003,P0001,2026-05-01,7,0,0,0,0,7,0,0
ST001-V00003-202606,ST001,V00003,P0001,2026-06-01,7,0,1,0,0,6,0,0
ST001-V00003-202607,ST001,V00003,P0001,2026-07-01,6,0,0,1,0,7,0,0
ST001-V00003-202608,ST001,V00003,P0001,2026-08-01,7,0,1,0,0,6,0,0
ST001-V00004-202501,ST001,V00004,P0001,2025-01-01,2,0,0,0,0,2,0,0
ST001-V00004-202502,ST001,V00004,P0001,2025-02-01,2,0,0,0,0,2,0,0
ST001-V00004-202503,ST001,V00004,P0001,2025-03-01,2,0,0,0,0,2,0,0
ST001-V00004-202504,ST001,V00004,P0001,2025-04-01,2,0,1,0,0,1,0,0
ST001-V00004-202505,ST001,V00004,P0001,2025-05-01,1,1,0,0,0,2,0,0
ST001-V00004-202506,ST001,V00004,P0001,2025-06-01,2,1,0,0,0,3,0,0
ST001-V00004-202507,ST001,V00004,P0001,2025-07-01,3,0,0,0,0,3,0,0
ST001-V00004-202508,ST001,V00004,P0001,2025-08-01,3,2,3,0,0,2,8,8
ST001-V00004-202509,ST001,V00004,P0001,2025-09-01,2,0,0,0,0,2,0,0
ST001-V00004-202510,ST001,V00004,P0001,2025-10-01,2,2,0,0,0,4,0,0
ST001-V00004-202511,ST001,V00004,P0001,2025-11-01,4,0,0,0,0,4,0,0
ST001-V00004-202512,ST001,V00004,P0001,2025-12-01,4,1,0,0,0,5,0,0
ST001-V00004-202601,ST001,V00004,P0001,2026-01-01,5,0,0,0,0,5,0,0
