OrderLineID,PromotionID
SO000002-3,PR2025-1
SO000003-3,PR2025-1
SO000003-4,PR2025-1
SO000003-5,PR2025-1
SO000006-1,PR2025-1
SO000007-2,PR2025-1
SO000007-3,PR2025-1
SO000008-1,PR2025-1
SO000009-1,PR2025-1
SO000009-4,PR2025-1
SO000010-2,PR2025-1
SO000011-1,PR2025-1
SO000012-1,PR2025-1
SO000014-1,PR2025-1
SO000016-1,PR2025-1
SO000016-2,PR2025-1
SO000018-1,PR2025-1
SO000019-2,PR2025-1
SO000022-1,PR2025-1
SO000022-2,PR2025-1
SO000022-3,PR2025-1
SO000024-1,PR2025-1
SO000026-1,PR2025-1
SO000028-1,PR2025-1
SO000030-1,PR2025-1
SO000031-1,PR2025-1
SO000032-1,PR2025-1
SO000032-2,PR2025-1
SO000034-2,PR2025-1
SO000035-1,PR2025-1
SO000036-1,PR2025-1
SO000038-1,PR2025-1
SO000038-2,PR2025-1
SO000038-3,PR2025-1
SO000042-1,PR2025-1
SO000042-2,PR2025-1
SO000043-1,PR2025-1
SO000044-1,PR2025-1
SO000045-1,PR2025-1
SO000046-1,PR2025-1
SO000046-2,PR2025-1
SO000046-4,PR2025-1
SO000047-2,PR2025-1
SO000048-2,PR2025-1
SO000048-3,PR2025-1
SO000048-4,PR2025-1
SO000048-5,PR2025-1
SO000050-2,PR2025-1
SO000050-3,PR2025-1
SO000051-1,PR2025-1
SO000052-2,PR2025-1
SO000053-1,PR2025-1
SO000056-1,PR2025-1
SO000057-3,PR2025-1
SO000058-1,PR2025-1
SO000058-3,PR2025-1
SO000059-1,PR2025-1
SO000060-2,PR2025-1
SO000061-1,PR2025-1
SO000062-1,PR2025-1
SO000063-1,PR2025-1
SO000063-3,PR2025-1
SO000065-1,PR2025-1
SO000067-1,PR2025-1
SO000069-1,PR2025-1
SO000070-1,PR2025-1
SO000071-1,PR2025-1
SO000071-3,PR2025-1
SO000073-2,PR2025-1
SO000074-1,PR2025-1
SO000074-2,PR2025-1
SO000076-3,PR2025-1
SO000077-1,PR2025-1
SO000079-1,PR2025-1
SO000080-2,PR2025-1
SO000081-1,PR2025-1
SO000083-1,PR2025-1
SO000083-2,PR2025-1
SO000083-3,PR2025-1
SO000084-1,PR2025-1
SO000084-3,PR2025-1
SO000084-5,PR2025-1
SO000085-3,PR2025-1
SO000086-1,PR2025-1
SO000088-1,PR2025-1
SO000088-2,PR2025-1
SO000089-1,PR2025-1
SO000090-1,PR2025-1
SO000090-2,PR2025-1
SO000091-1,PR2025-1
SO000091-3,PR2025-1
SO000092-2,PR2025-1
SO000093-1,PR2025-1
SO000095-2,PR2025-1
SO000098-3,PR2025-1
SO000099-1,PR2025-1
SO000100-2,PR2025-1
SO000100-3,PR2025-1
SO000100-5,PR2025-1
SO000101-1,PR2025-1
SO000102-2,PR2025-1
SO000103-1,PR2025-1
SO000103-3,PR2025-1
SO000106-1,PR2025-1
SO000106-2,PR2025-1
SO000106-5,PR2025-1
SO000107-1,PR2025-1
SO000109-1,PR2025-1
SO000110-1,PR2025-1
