VariantID,ProductID,SKU,ColorName,SizeCode,SizeOrder,ListPrice
V00001,P0001,P0001-SL-7,Slate,7,1,271.95
V00002,P0001,P0001-SL-75,Slate,7.5,2,271.95
V00003,P0001,P0001-SL-8,Slate,8,3,271.95
V00004,P0001,P0001-SL-85,Slate,8.5,4,271.95
V00005,P0001,P0001-SL-9,Slate,9,5,271.95
V00006,P0001,P0001-SL-95,Slate,9.5,6,271.95
V00007,P0001,P0001-SL-10,Slate,10,7,271.95
V00008,P0001,P0001-SL-105,Slate,10.5,8,271.95
V00009,P0001,P0001-SL-11,Slate,11,9,271.95
V00010,P0001,P0001-SL-115,Slate,11.5,10,271.95
V00011,P0001,P0001-SL-12,Slate,12,11,271.95
V00012,P0001,P0001-SL-13,Slate,13,12,271.95
V00013,P0001,P0001-DU-7,Dune,7,1,271.95
V00014,P0001,P0001-DU-75,Dune,7.5,2,271.95
V00015,P0001,P0001-DU-8,Dune,8,3,271.95
V00016,P0001,P0001-DU-85,Dune,8.5,4,271.95
V00017,P0001,P0001-DU-9,Dune,9,5,271.95
V00018,P0001,P0001-DU-95,Dune,9.5,6,271.95
V00019,P0001,P0001-DU-10,Dune,10,7,271.95
V00020,P0001,P0001-DU-105,Dune,10.5,8,271.95
V00021,P0001,P0001-DU-11,Dune,11,9,271.95
V00022,P0001,P0001-DU-115,Dune,11.5,10,271.95
V00023,P0001,P0001-DU-12,Dune,12,11,271.95
V00024,P0001,P0001-DU-13,Dune,13,12,271.95
V00025,P0002,P0002-ST-7,Storm Blue,7,1,190.95
V00026,P0002,P0002-ST-75,Storm Blue,7.5,2,190.95
V00027,P0002,P0002-ST-8,Storm Blue,8,3,190.95
V00028,P0002,P0002-ST-85,Storm Blue,8.5,4,190.95
V00029,P0002,P0002-ST-9,Storm Blue,9,5,190.95
V00030,P0002,P0002-ST-95,Storm Blue,9.5,6,190.95
V00031,P0002,P0002-ST-10,Storm Blue,10,7,190.95
V00032,P0002,P0002-ST-105,Storm Blue,10.5,8,190.95
V00033,P0002,P0002-ST-11,Storm Blue,11,9,190.95
V00034,P0002,P0002-ST-115,Storm Blue,11.5,10,190.95
V00035,P0002,P0002-ST-12,Storm Blue,12,11,190.95
V00036,P0002,P0002-ST-13,Storm Blue,13,12,190.95
V00037,P0002,P0002-EM-7,Ember,7,1,190.95
V00038,P0002,P0002-EM-75,Ember,7.5,2,190.95
V00039,P0002,P0002-EM-8,Ember,8,3,190.95
V00040,P0002,P0002-EM-85,Ember,8.5,4,190.95
V00041,P0002,P0002-EM-9,Ember,9,5,190.95
V00042,P0002,P0002-EM-95,Ember,9.5,6,190.95
V00043,P0002,P0002-EM-10,Ember,10,7,190.95
V00044,P0002,P0002-EM-105,Ember,10.5,8,190.95
V00045,P0002,P0002-EM-11,Ember,11,9,190.95
V00046,P0002,P0002-EM-115,Ember,11.5,10,190.95
V00047,P0002,P0002-EM-12,Ember,12,11,190.95
V00048,P0002,P0002-EM-13,Ember,13,12,190.95
V00049,P0003,P0003-ST-7,Storm Blue,7,1,164.95
V00050,P0003,P0003-ST-75,Storm Blue,7.5,2,164.95
V00051,P0003,P0003-ST-8,Storm Blue,8,3,164.95
V00052,P0003,P0003-ST-85,Storm Blue,8.5,4,164.95
V00053,P0003,P0003-ST-9,Storm Blue,9,5,164.95
V00054,P0003,P0003-ST-95,Storm Blue,9.5,6,164.95
V00055,P0003,P0003-ST-10,Storm Blue,10,7,164.95
V00056,P0003,P0003-ST-105,Storm Blue,10.5,8,164.95
V00057,P0003,P0003-ST-11,Storm Blue,11,9,164.95
V00058,P0003,P0003-ST-115,Storm Blue,11.5,10,164.95
V00059,P0003,P0003-ST-12,Storm Blue,12,11,164.95
V00060,P0003,P0003-ST-13,Storm Blue,13,12,164.95
V00061,P0003,P0003-SL-7,Slate,7,1,164.95
V00062,P0003,P0003-SL-75,Slate,7.5,2,164.95
V00063,P0003,P0003-SL-8,Slate,8,3,164.95
V00064,P0003,P0003-SL-85,Slate,8.5,4,164.95
V00065,P0003,P0003-SL-9,Slate,9,5,164.95
V00066,P0003,P0003-SL-95,Slate,9.5,6,164.95
V00067,P0003,P0003-SL-10,Slate,10,7,164.95
V00068,P0003,P0003-SL-105,Slate,10.5,8,164.95
V00069,P0003,P0003-SL-11,Slate,11,9,164.95
V00070,P0003,P0003-SL-115,Slate,11.5,10,164.95
V00071,P0003,P0003-SL-12,Slate,12,11,164.95
V00072,P0003,P0003-SL-13,Slate,13,12,164.95
V00073,P0004,P0004-EM-7,Ember,7,1,240.95
V00074,P0004,P0004-EM-75,Ember,7.5,2,240.95
V00075,P0004,P0004-EM-8,Ember,8,3,240.95
V00076,P0004,P0004-EM-85,Ember,8.5,4,240.95
V00077,P0004,P0004-EM-9,Ember,9,5,240.95
V00078,P0004,P0004-EM-95,Ember,9.5,6,240.95
V00079,P0004,P0004-EM-10,Ember,10,7,240.95
V00080,P0004,P0004-EM-105,Ember,10.5,8,240.95
V00081,P0004,P0004-EM-11,Ember,11,9,240.95
V00082,P0004,P0004-EM-115,Ember,11.5,10,240.95
V00083,P0004,P0004-EM-12,Ember,12,11,240.95
V00084,P0004,P0004-EM-13,Ember,13,12,240.95
V00085,P0004,P0004-SL-7,Slate,7,1,240.95
V00086,P0004,P0004-SL-75,Slate,7.5,2,240.95
V00087,P0004,P0004-SL-8,Slate,8,3,240.95
V00088,P0004,P0004-SL-85,Slate,8.5,4,240.95
V00089,P0004,P0004-SL-9,Slate,9,5,240.95
V00090,P0004,P0004-SL-95,Slate,9.5,6,240.95
V00091,P0004,P0004-SL-10,Slate,10,7,240.95
V00092,P0004,P0004-SL-105,Slate,10.5,8,240.95
V00093,P0004,P0004-SL-11,Slate,11,9,240.95
V00094,P0004,P0004-SL-115,Slate,11.5,10,240.95
V00095,P0004,P0004-SL-12,Slate,12,11,240.95
V00096,P0004,P0004-SL-13,Slate,13,12,240.95
V00097,P0005,P0005-SL-7,Slate,7,1,133.95
V00098,P0005,P0005-SL-75,Slate,7.5,2,133.95
V00099,P0005,P0005-SL-8,Slate,8,3,133.95
V00100,P0005,P0005-SL-85,Slate,8.5,4,133.95
V00101,P0005,P0005-SL-9,Slate,9,5,133.95
V00102,P0005,P0005-SL-95,Slate,9.5,6,133.95
V00103,P0005,P0005-SL-10,Slate,10,7,133.95
V00104,P0005,P0005-SL-105,Slate,10.5,8,133.95
V00105,P0005,P0005-SL-11,Slate,11,9,133.95
V00106,P0005,P0005-SL-115,Slate,11.5,10,133.95
V00107,P0005,P0005-SL-12,Slate,12,11,133.95
V00108,P0005,P0005-SL-13,Slate,13,12,133.95
V00109,P0005,P0005-CL-7,Clay,7,1,133.95
V00110,P0005,P0005-CL-75,Clay,7.5,2,133.95
V00111,P0005,P0005-CL-8,Clay,8,3,133.95
V00112,P0005,P0005-CL-85,Clay,8.5,4,133.95
V00113,P0005,P0005-CL-9,Clay,9,5,133.95
V00114,P0005,P0005-CL-95,Clay,9.5,6,133.95
V00115,P0005,P0005-CL-10,Clay,10,7,133.95
V00116,P0005,P0005-CL-105,Clay,10.5,8,133.95
V00117,P0005,P0005-CL-11,Clay,11,9,133.95
V00118,P0005,P0005-CL-115,Clay,11.5,10,133.95
V00119,P0005,P0005-CL-12,Clay,12,11,133.95
V00120,P0005,P0005-CL-13,Clay,13,12,133.95
V00121,P0006,P0006-BO-7,Bone,7,1,162.95
V00122,P0006,P0006-BO-75,Bone,7.5,2,162.95
V00123,P0006,P0006-BO-8,Bone,8,3,162.95
V00124,P0006,P0006-BO-85,Bone,8.5,4,162.95
V00125,P0006,P0006-BO-9,Bone,9,5,162.95
V00126,P0006,P0006-BO-95,Bone,9.5,6,162.95
V00127,P0006,P0006-BO-10,Bone,10,7,162.95
V00128,P0006,P0006-BO-105,Bone,10.5,8,162.95
V00129,P0006,P0006-BO-11,Bone,11,9,162.95
V00130,P0006,P0006-BO-115,Bone,11.5,10,162.95
V00131,P0006,P0006-BO-12,Bone,12,11,162.95
V00132,P0006,P0006-BO-13,Bone,13,12,162.95
V00133,P0006,P0006-ST-7,Storm Blue,7,1,162.95
V00134,P0006,P0006-ST-75,Storm Blue,7.5,2,162.95
V00135,P0006,P0006-ST-8,Storm Blue,8,3,162.95
V00136,P0006,P0006-ST-85,Storm Blue,8.5,4,162.95
V00137,P0006,P0006-ST-9,Storm Blue,9,5,162.95
V00138,P0006,P0006-ST-95,Storm Blue,9.5,6,162.95
V00139,P0006,P0006-ST-10,Storm Blue,10,7,162.95
V00140,P0006,P0006-ST-105,Storm Blue,10.5,8,162.95
V00141,P0006,P0006-ST-11,Storm Blue,11,9,162.95
V00142,P0006,P0006-ST-115,Storm Blue,11.5,10,162.95
V00143,P0006,P0006-ST-12,Storm Blue,12,11,162.95
V00144,P0006,P0006-ST-13,Storm Blue,13,12,162.95
V00145,P0007,P0007-SL-7,Slate,7,1,126.95
V00146,P0007,P0007-SL-75,Slate,7.5,2,126.95
V00147,P0007,P0007-SL-8,Slate,8,3,126.95
V00148,P0007,P0007-SL-85,Slate,8.5,4,126.95
V00149,P0007,P0007-SL-9,Slate,9,5,126.95
V00150,P0007,P0007-SL-95,Slate,9.5,6,126.95
V00151,P0007,P0007-SL-10,Slate,10,7,126.95
V00152,P0007,P0007-SL-105,Slate,10.5,8,126.95
V00153,P0007,P0007-SL-11,Slate,11,9,126.95
V00154,P0007,P0007-SL-115,Slate,11.5,10,126.95
V00155,P0007,P0007-SL-12,Slate,12,11,126.95
V00156,P0007,P0007-SL-13,Slate,13,12,126.95
V00157,P0007,P0007-BA-7,Basalt,7,1,126.95
V00158,P0007,P0007-BA-75,Basalt,7.5,2,126.95
V00159,P0007,P0007-BA-8,Basalt,8,3,126.95
V00160,P0007,P0007-BA-85,Basalt,8.5,4,126.95
V00161,P0007,P0007-BA-9,Basalt,9,5,126.95
V00162,P0007,P0007-BA-95,Basalt,9.5,6,126.95
V00163,P0007,P0007-BA-10,Basalt,10,7,126.95
V00164,P0007,P0007-BA-105,Basalt,10.5,8,126.95
V00165,P0007,P0007-BA-11,Basalt,11,9,126.95
V00166,P0007,P0007-BA-115,Basalt,11.5,10,126.95
V00167,P0007,P0007-BA-12,Basalt,12,11,126.95
V00168,P0007,P0007-BA-13,Basalt,13,12,126.95
V00169,P0008,P0008-SL-7,Slate,7,1,135.95
V00170,P0008,P0008-SL-75,Slate,7.5,2,135.95
V00171,P0008,P0008-SL-8,Slate,8,3,135.95
V00172,P0008,P0008-SL-85,Slate,8.5,4,135.95
V00173,P0008,P0008-SL-9,Slate,9,5,135.95
V00174,P0008,P0008-SL-95,Slate,9.5,6,135.95
V00175,P0008,P0008-SL-10,Slate,10,7,135.95
V00176,P0008,P0008-SL-105,Slate,10.5,8,135.95
V00177,P0008,P0008-SL-11,Slate,11,9,135.95
V00178,P0008,P0008-SL-115,Slate,11.5,10,135.95
V00179,P0008,P0008-SL-12,Slate,12,11,135.95
V00180,P0008,P0008-SL-13,Slate,13,12,135.95
V00181,P0008,P0008-ST-7,Storm Blue,7,1,135.95
V00182,P0008,P0008-ST-75,Storm Blue,7.5,2,135.95
