PurchaseOrderID,SupplierID,StoreID,PurchaseOrderDate,ExpectedDeliveryDate,DeliveredDate,POStatus,POTotalCost
PO000001,SUP04,ST900,2024-10-25,2024-12-19,2025-01-06,Partially received,1432.62
PO000002,SUP04,ST001,2024-10-28,2024-12-22,2025-01-12,Received,533.54
PO000003,SUP04,ST017,2024-10-31,2024-12-25,2025-01-06,Received,676.57
PO000004,SUP06,ST004,2024-11-06,2024-12-24,2025-01-05,Received,209.62
PO000005,SUP04,ST014,2024-11-08,2025-01-02,2025-01-17,Received,541.21
PO000006,SUP04,ST900,2024-11-08,2025-01-02,2025-01-14,Partially received,1432.62
PO000007,SUP04,ST013,2024-11-10,2025-01-04,2025-01-04,Received,177.71
PO000008,SUP04,ST001,2024-11-11,2025-01-05,2025-01-20,Received,751.42
PO000009,SUP04,ST002,2024-11-12,2025-01-06,2025-01-19,Received,1528.94
PO000010,SUP04,ST015,2024-11-12,2025-01-06,2025-01-27,Received,379.67
PO000011,SUP04,ST016,2024-11-12,2025-01-06,2025-01-26,Received,134.47
PO000012,SUP04,ST005,2024-11-13,2025-01-07,2025-01-28,Received,1181.02
PO000013,SUP04,ST006,2024-11-13,2025-01-07,2025-01-07,Received,165.35
PO000014,SUP04,ST017,2024-11-14,2025-01-08,2025-01-18,Received,553.16
PO000015,SUP04,ST003,2024-11-15,2025-01-09,2025-01-18,Received,241.11
PO000016,SUP06,ST011,2024-11-15,2025-01-02,2025-01-02,Received,113.76
PO000017,SUP07,ST011,2024-11-17,2024-12-26,2025-01-04,Received,162.42
PO000018,SUP06,ST001,2024-11-18,2025-01-05,2025-01-05,Received,133.77
PO000019,SUP06,ST006,2024-11-18,2025-01-05,2025-01-05,Received,227.49
PO000020,SUP04,ST009,2024-11-18,2025-01-12,2025-01-12,Received,468.33
PO000021,SUP04,ST007,2024-11-19,2025-01-13,2025-01-13,Received,198.30
PO000022,SUP04,ST012,2024-11-19,2025-01-13,2025-01-13,Received,323.59
PO000023,SUP01,ST014,2024-11-19,2024-12-31,2025-01-08,Received,216.80
PO000024,SUP06,ST014,2024-11-19,2025-01-06,2025-01-06,Received,164.60
PO000025,SUP07,ST015,2024-11-19,2024-12-28,2025-01-05,Received,194.99
PO000026,SUP06,ST004,2024-11-20,2025-01-07,2025-01-07,Received,211.68
PO000027,SUP01,ST006,2024-11-20,2025-01-01,2025-01-08,Received,217.29
PO000028,SUP04,ST008,2024-11-20,2025-01-14,2025-01-21,Received,1067.10
PO000029,SUP04,ST010,2024-11-20,2025-01-14,2025-02-04,Received,1661.18
PO000030,SUP04,ST011,2024-11-20,2025-01-14,2025-01-14,Received,1278.17
PO000031,SUP04,ST018,2024-11-20,2025-01-14,2025-01-14,Received,835.24
PO000032,SUP06,ST900,2024-11-20,2025-01-07,2025-01-17,Received,1563.35
PO000033,SUP01,ST004,2024-11-21,2025-01-02,2025-01-02,Received,82.32
PO000034,SUP04,ST004,2024-11-21,2025-01-15,2025-01-15,Received,1057.23
PO000035,SUP06,ST018,2024-11-21,2025-01-08,2025-01-13,Received,469.98
PO000036,SUP04,ST014,2024-11-22,2025-01-16,2025-01-24,Received,387.60
PO000037,SUP01,ST015,2024-11-22,2025-01-03,2025-01-03,Received,126.05
PO000038,SUP07,ST018,2024-11-22,2024-12-31,2025-01-07,Received,158.63
PO000039,SUP04,ST900,2024-11-22,2025-01-16,2025-01-16,Partially received,1432.62
PO000040,SUP06,ST002,2024-11-23,2025-01-10,2025-01-10,Received,113.76
PO000041,SUP07,ST006,2024-11-23,2025-01-01,2025-01-04,Received,116.94
PO000042,SUP06,ST008,2024-11-23,2025-01-10,2025-01-10,Received,343.49
PO000043,SUP01,ST900,2024-11-23,2025-01-04,2025-01-04,Partially received,1519.31
PO000044,SUP06,ST010,2024-11-24,2025-01-11,2025-01-11,Received,162.72
PO000045,SUP06,ST012,2024-11-24,2025-01-11,2025-01-23,Received,1171.61
