PurchaseOrderLineID,PurchaseOrderID,VariantID,ProductID,QuantityOrdered,QuantityReceived,POUnitCost,POLineCost
PO000001-1,PO000001,V00015,P0001,1,1,128.94,128.94
PO000001-2,PO000001,V00187,P0008,1,1,66.10,66.10
PO000001-3,PO000001,V00352,P0015,3,2,96.98,290.94
PO000001-4,PO000001,V00358,P0015,1,1,96.98,96.98
PO000001-5,PO000001,V00488,P0022,1,1,183.11,183.11
PO000001-6,PO000001,V00609,P0029,1,0,68.37,68.37
PO000001-7,PO000001,V00615,P0029,1,0,68.37,68.37
PO000001-8,PO000001,V00712,P0036,1,1,71.07,71.07
PO000001-9,PO000001,V00725,P0043,1,1,69.41,69.41
PO000001-10,PO000001,V00726,P0043,1,0,69.41,69.41
PO000001-11,PO000001,V00739,P0050,1,1,106.64,106.64
PO000001-12,PO000001,V00740,P0050,2,2,106.64,213.28
PO000002-1,PO000002,V00183,P0008,1,1,66.10,66.10
PO000002-2,PO000002,V00342,P0015,1,1,96.98,96.98
PO000002-3,PO000002,V00344,P0015,1,1,96.98,96.98
PO000002-4,PO000002,V00606,P0029,1,1,68.37,68.37
PO000002-5,PO000002,V00608,P0029,1,1,68.37,68.37
PO000002-6,PO000002,V00609,P0029,1,1,68.37,68.37
PO000002-7,PO000002,V00610,P0029,1,1,68.37,68.37
PO000003-1,PO000003,V00016,P0001,2,2,128.94,257.88
PO000003-2,PO000003,V00017,P0001,1,1,128.94,128.94
PO000003-3,PO000003,V00482,P0022,1,1,183.11,183.11
PO000003-4,PO000003,V00740,P0050,1,1,106.64,106.64
PO000004-1,PO000004,V00079,P0004,1,1,113.76,113.76
PO000004-2,PO000004,V00412,P0018,1,1,76.28,76.28
PO000004-3,PO000004,V00656,P0032,1,1,19.58,19.58
PO000005-1,PO000005,V00345,P0015,1,1,96.98,96.98
PO000005-2,PO000005,V00357,P0015,1,1,96.98,96.98
PO000005-3,PO000005,V00604,P0029,1,1,68.37,68.37
PO000005-4,PO000005,V00614,P0029,1,1,68.37,68.37
PO000005-5,PO000005,V00616,P0029,1,1,68.37,68.37
PO000005-6,PO000005,V00711,P0036,2,2,71.07,142.14
PO000006-1,PO000006,V00015,P0001,1,1,128.94,128.94
PO000006-2,PO000006,V00187,P0008,1,1,66.10,66.10
PO000006-3,PO000006,V00352,P0015,3,3,96.98,290.94
PO000006-4,PO000006,V00358,P0015,1,1,96.98,96.98
PO000006-5,PO000006,V00488,P0022,1,1,183.11,183.11
PO000006-6,PO000006,V00609,P0029,1,0,68.37,68.37
PO000006-7,PO000006,V00615,P0029,1,1,68.37,68.37
PO000006-8,PO000006,V00712,P0036,1,1,71.07,71.07
PO000006-9,PO000006,V00725,P0043,1,1,69.41,69.41
PO000006-10,PO000006,V00726,P0043,1,1,69.41,69.41
PO000006-11,PO000006,V00739,P0050,1,1,106.64,106.64
PO000006-12,PO000006,V00740,P0050,2,2,106.64,213.28
PO000007-1,PO000007,V00711,P0036,1,1,71.07,71.07
PO000007-2,PO000007,V00740,P0050,1,1,106.64,106.64
PO000008-1,PO000008,V00183,P0008,1,1,66.10,66.10
PO000008-2,PO000008,V00192,P0008,2,2,66.10,132.20
PO000008-3,PO000008,V00341,P0015,1,1,96.98,96.98
PO000008-4,PO000008,V00359,P0015,1,1,96.98,96.98
PO000008-5,PO000008,V00489,P0022,1,1,183.11,183.11
PO000008-6,PO000008,V00726,P0043,1,1,69.41,69.41
PO000008-7,PO000008,V00740,P0050,1,1,106.64,106.64
PO000009-1,PO000009,V00339,P0015,1,1,96.98,96.98
PO000009-2,PO000009,V00355,P0015,1,1,96.98,96.98
PO000009-3,PO000009,V00477,P0022,2,2,183.11,366.22
PO000009-4,PO000009,V00482,P0022,1,1,183.11,183.11
PO000009-5,PO000009,V00488,P0022,2,2,183.11,366.22
PO000009-6,PO000009,V00604,P0029,2,2,68.37,136.74
PO000009-7,PO000009,V00726,P0043,1,1,69.41,69.41
PO000009-8,PO000009,V00740,P0050,2,2,106.64,213.28
PO000010-1,PO000010,V00355,P0015,1,1,96.98,96.98
PO000010-2,PO000010,V00726,P0043,1,1,69.41,69.41
PO000010-3,PO000010,V00739,P0050,2,2,106.64,213.28
PO000011-1,PO000011,V00172,P0008,1,1,66.10,66.10
PO000011-2,PO000011,V00609,P0029,1,1,68.37,68.37
PO000012-1,PO000012,V00001,P0001,2,2,128.94,257.88
PO000012-2,PO000012,V00018,P0001,1,1,128.94,128.94
PO000012-3,PO000012,V00021,P0001,1,1,128.94,128.94
PO000012-4,PO000012,V00185,P0008,1,1,66.10,66.10
PO000012-5,PO000012,V00186,P0008,1,1,66.10,66.10
PO000012-6,PO000012,V00711,P0036,4,4,71.07,284.28
PO000012-7,PO000012,V00712,P0036,2,2,71.07,142.14
PO000012-8,PO000012,V00740,P0050,1,1,106.64,106.64
PO000013-1,PO000013,V00353,P0015,1,1,96.98,96.98
PO000013-2,PO000013,V00607,P0029,1,1,68.37,68.37
PO000014-1,PO000014,V00007,P0001,1,1,128.94,128.94
PO000014-2,PO000014,V00184,P0008,1,1,66.10,66.10
PO000014-3,PO000014,V00477,P0022,1,1,183.11,183.11
PO000014-4,PO000014,V00609,P0029,1,1,68.37,68.37
PO000014-5,PO000014,V00739,P0050,1,1,106.64,106.64
PO000015-1,PO000015,V00171,P0008,1,1,66.10,66.10
PO000015-2,PO000015,V00615,P0029,1,1,68.37,68.37
PO000015-3,PO000015,V00740,P0050,1,1,106.64,106.64
PO000016-1,PO000016,V00093,P0004,1,1,113.76,113.76
PO000017-1,PO000017,V00624,P0030,1,1,54.14,54.14
PO000017-2,PO000017,V00626,P0030,2,2,54.14,108.28
PO000018-1,PO000018,V00405,P0018,1,1,76.28,76.28
PO000018-2,PO000018,V00536,P0025,1,1,37.91,37.91
PO000018-3,PO000018,V00669,P0032,1,1,19.58,19.58
PO000019-1,PO000019,V00093,P0004,1,1,113.76,113.76
PO000019-2,PO000019,V00540,P0025,2,2,37.91,75.82
PO000019-3,PO000019,V00544,P0025,1,1,37.91,37.91
PO000020-1,PO000020,V00012,P0001,1,1,128.94,128.94
PO000020-2,PO000020,V00174,P0008,2,2,66.10,132.20
PO000020-3,PO000020,V00614,P0029,1,1,68.37,68.37
PO000020-4,PO000020,V00725,P0043,2,2,69.41,138.82
PO000021-1,PO000021,V00171,P0008,1,1,66.10,66.10
PO000021-2,PO000021,V00172,P0008,2,2,66.10,132.20
PO000022-1,PO000022,V00490,P0022,1,1,183.11,183.11
PO000022-2,PO000022,V00712,P0036,1,1,71.07,71.07
PO000022-3,PO000022,V00726,P0043,1,1,69.41,69.41
PO000023-1,PO000023,V00470,P0021,1,1,129.34,129.34
PO000023-2,PO000023,V00585,P0028,2,2,43.73,87.46
PO000024-1,PO000024,V00415,P0018,1,1,76.28,76.28
PO000024-2,PO000024,V00718,P0039,1,1,88.32,88.32
PO000025-1,PO000025,V00039,P0002,1,1,78.05,78.05
PO000025-2,PO000025,V00713,P0037,1,1,116.94,116.94
PO000026-1,PO000026,V00078,P0004,1,1,113.76,113.76
PO000026-2,PO000026,V00731,P0046,1,1,48.96,48.96
PO000026-3,PO000026,V00732,P0046,1,1,48.96,48.96
PO000027-1,PO000027,V00163,P0007,1,1,50.66,50.66
PO000027-2,PO000027,V00723,P0042,1,1,142.14,142.14
PO000027-3,PO000027,V00738,P0049,1,1,24.49,24.49
PO000028-1,PO000028,V00183,P0008,1,1,66.10,66.10
PO000028-2,PO000028,V00187,P0008,1,1,66.10,66.10
