OrderID,OrderNumber,StoreID,CustomerID,Channel,OrderDate,OrderStatus,GrossAmount,DiscountAmount,SubTotal,TaxAmount,OrderTotal,PaymentMethod
SO000001,YK-2025-000001,ST001,C05079,Store,2025-01-01,Completed,132.95,0.00,132.95,10.97,143.92,Credit Card
SO000002,YK-2025-000002,ST001,C01465,Store,2025-01-01,Completed,450.85,87.98,362.87,29.94,392.81,Mobile Wallet
SO000003,YK-2025-000003,ST002,C02822,Store,2025-01-01,Completed,1192.75,138.71,1054.04,86.96,1141.00,Credit Card
SO000004,YK-2025-000004,ST002,C04672,Store,2025-01-01,Completed,192.95,0.00,192.95,15.92,208.87,Credit Card
SO000005,YK-2025-000005,ST003,C00619,Store,2025-01-01,Completed,151.90,0.00,151.90,12.53,164.43,Debit Card
SO000006,YK-2025-000006,ST004,C03410,Store,2025-01-01,Completed,228.95,57.24,171.71,14.17,185.88,Credit Card
SO000007,YK-2025-000007,ST004,C04247,Store,2025-01-01,Completed,663.80,70.73,593.07,48.93,642.00,Credit Card
SO000008,YK-2025-000008,ST004,C05725,Store,2025-01-01,Completed,435.85,9.29,426.56,35.19,461.75,Debit Card
SO000009,YK-2025-000009,ST005,C03890,Store,2025-01-01,Completed,879.75,79.17,800.58,66.05,866.63,Credit Card
SO000010,YK-2025-000010,ST006,C00516,Store,2025-01-01,Completed,730.85,150.57,580.28,47.87,628.15,Gift Card
SO000011,YK-2025-000011,ST007,C01444,Store,2025-01-01,Completed,122.95,12.30,110.65,9.13,119.78,Debit Card
SO000012,YK-2025-000012,ST009,C01367,Store,2025-01-01,Completed,220.95,44.19,176.76,14.58,191.34,Credit Card
SO000013,YK-2025-000013,ST010,C03670,Store,2025-01-01,Completed,238.90,0.00,238.90,19.71,258.61,Yuktikara Rewards Card
SO000014,YK-2025-000014,ST011,C01810,Store,2025-01-01,Completed,240.95,36.14,204.81,16.90,221.71,Debit Card
SO000015,YK-2025-000015,ST011,C01037,Store,2025-01-01,Completed,311.90,0.00,311.90,25.73,337.63,Debit Card
SO000016,YK-2025-000016,ST012,C01319,Store,2025-01-01,Completed,312.90,46.93,265.97,21.94,287.91,Credit Card
SO000017,YK-2025-000017,ST012,C02969,Store,2025-01-01,Completed,133.95,0.00,133.95,11.05,145.00,Mobile Wallet
SO000018,YK-2025-000018,ST013,C02782,Store,2025-01-01,Completed,294.90,29.24,265.66,21.92,287.58,Yuktikara Rewards Card
SO000019,YK-2025-000019,ST014,C00757,Store,2025-01-01,Completed,499.90,83.68,416.22,34.34,450.56,Credit Card
SO000020,YK-2025-000020,ST015,C01352,Store,2025-01-01,Shipped,93.95,0.00,93.95,7.75,101.70,Mobile Wallet
SO000021,YK-2025-000021,ST016,C02047,Store,2025-01-01,Completed,401.85,0.00,401.85,33.15,435.00,Debit Card
