OrderLineID,OrderID,OrderLineNumber,VariantID,ProductID,Quantity,UnitPrice,DiscountAmount,LineTotal
SO000001-1,SO000001,1,V00493,P0023,1,132.95,0.00,132.95
SO000002-1,SO000002,1,V00038,P0002,1,190.95,0.00,190.95
SO000002-2,SO000002,2,V00669,P0032,1,39.95,0.00,39.95
SO000002-3,SO000002,3,V00342,P0015,1,219.95,87.98,131.97
SO000003-1,SO000003,1,V00724,P0042,1,358.95,0.00,358.95
SO000003-2,SO000003,2,V00462,P0021,1,278.95,0.00,278.95
SO000003-3,SO000003,3,V00383,P0016,1,218.95,43.79,175.16
SO000003-4,SO000003,4,V00281,P0012,1,116.95,29.24,87.71
SO000003-5,SO000003,5,V00366,P0016,1,218.95,65.68,153.27
SO000004-1,SO000004,1,V00709,P0035,1,192.95,0.00,192.95
SO000005-1,SO000005,1,V00638,P0031,2,75.95,0.00,151.90
SO000006-1,SO000006,1,V00714,P0037,1,228.95,57.24,171.71
SO000007-1,SO000007,1,V00740,P0050,1,215.95,0.00,215.95
SO000007-2,SO000007,2,V00209,P0009,1,119.95,29.99,89.96
SO000007-3,SO000007,3,V00141,P0006,1,162.95,40.74,122.21
SO000007-4,SO000007,4,V00057,P0003,1,164.95,0.00,164.95
SO000008-1,SO000008,1,V00693,P0034,1,61.95,9.29,52.66
SO000008-2,SO000008,2,V00412,P0018,1,180.95,0.00,180.95
SO000008-3,SO000008,3,V00710,P0035,1,192.95,0.00,192.95
SO000009-1,SO000009,1,V00271,P0012,1,116.95,46.78,70.17
SO000009-2,SO000009,2,V00628,P0030,1,133.95,0.00,133.95
SO000009-3,SO000009,3,V00459,P0021,1,278.95,0.00,278.95
SO000009-4,SO000009,4,V00740,P0050,1,215.95,32.39,183.56
SO000009-5,SO000009,5,V00620,P0030,1,133.95,0.00,133.95
SO000010-1,SO000010,1,V00714,P0037,1,228.95,0.00,228.95
SO000010-2,SO000010,2,V00428,P0019,2,250.95,150.57,351.33
SO000011-1,SO000011,1,V00521,P0024,1,122.95,12.30,110.65
SO000012-1,SO000012,1,V00718,P0039,1,220.95,44.19,176.76
SO000013-1,SO000013,1,V00731,P0046,1,121.95,0.00,121.95
SO000013-2,SO000013,2,V00283,P0012,1,116.95,0.00,116.95
SO000014-1,SO000014,1,V00093,P0004,1,240.95,36.14,204.81
SO000015-1,SO000015,1,V00306,P0013,1,175.95,0.00,175.95
SO000015-2,SO000015,2,V00175,P0008,1,135.95,0.00,135.95
SO000016-1,SO000016,1,V00744,P0052,1,131.95,19.79,112.16
SO000016-2,SO000016,2,V00417,P0018,1,180.95,27.14,153.81
SO000017-1,SO000017,1,V00634,P0030,1,133.95,0.00,133.95
SO000018-1,SO000018,1,V00270,P0012,1,116.95,29.24,87.71
SO000018-2,SO000018,2,V00711,P0036,1,177.95,0.00,177.95
SO000019-1,SO000019,1,V00718,P0039,1,220.95,0.00,220.95
SO000019-2,SO000019,2,V00470,P0021,1,278.95,83.68,195.27
SO000020-1,SO000020,1,V00729,P0045,1,93.95,0.00,93.95
SO000021-1,SO000021,1,V00140,P0006,2,162.95,0.00,325.90
SO000021-2,SO000021,2,V00641,P0031,1,75.95,0.00,75.95
SO000022-1,SO000022,1,V00063,P0003,1,164.95,41.24,123.71
SO000022-2,SO000022,2,V00482,P0022,1,439.95,109.99,329.96
SO000022-3,SO000022,3,V00098,P0005,1,133.95,26.79,107.16
SO000022-4,SO000022,4,V00016,P0001,2,271.95,0.00,543.90
SO000023-1,SO000023,1,V00243,P0011,1,157.95,0.00,157.95
SO000024-1,SO000024,1,V00676,P0033,1,48.95,4.90,44.05
SO000025-1,SO000025,1,V00560,P0026,1,52.95,0.00,52.95
SO000025-2,SO000025,2,V00676,P0033,2,48.95,0.00,97.90
SO000026-1,SO000026,1,V00720,P0040,2,339.95,271.96,407.94
SO000027-1,SO000027,1,V00068,P0003,1,164.95,0.00,164.95
SO000028-1,SO000028,1,V00740,P0050,1,215.95,64.78,151.17
SO000028-2,SO000028,2,V00074,P0004,1,240.95,0.00,240.95
SO000029-1,SO000029,1,V00733,P0047,1,89.95,0.00,89.95
SO000030-1,SO000030,1,V00105,P0005,1,133.95,33.49,100.46
SO000031-1,SO000031,1,V00606,P0029,1,135.95,33.99,101.96
SO000032-1,SO000032,1,V00623,P0030,1,133.95,53.58,80.37
SO000032-2,SO000032,2,V00355,P0015,1,219.95,54.99,164.96
SO000033-1,SO000033,1,V00079,P0004,1,240.95,0.00,240.95
SO000034-1,SO000034,1,V00234,P0010,1,108.95,0.00,108.95
SO000034-2,SO000034,2,V00710,P0035,1,192.95,28.94,164.01
SO000035-1,SO000035,1,V00709,P0035,1,192.95,38.59,154.36
SO000036-1,SO000036,1,V00720,P0040,1,339.95,84.99,254.96
SO000037-1,SO000037,1,V00572,P0027,1,82.95,0.00,82.95
SO000038-1,SO000038,1,V00741,P0051,3,73.95,44.37,177.48
SO000038-2,SO000038,2,V00412,P0018,1,180.95,18.10,162.85
SO000038-3,SO000038,3,V00067,P0003,1,164.95,16.50,148.45
SO000039-1,SO000039,1,V00605,P0029,1,135.95,0.00,135.95
SO000040-1,SO000040,1,V00709,P0035,1,192.95,0.00,192.95
SO000041-1,SO000041,1,V00489,P0022,1,439.95,0.00,439.95
SO000042-1,SO000042,1,V00669,P0032,1,39.95,11.98,27.97
SO000042-2,SO000042,2,V00741,P0051,1,73.95,18.49,55.46
SO000043-1,SO000043,1,V00628,P0030,1,133.95,13.40,120.55
SO000044-1,SO000044,1,V00719,P0040,1,339.95,50.99,288.96
SO000045-1,SO000045,1,V00734,P0047,1,89.95,35.98,53.97
SO000046-1,SO000046,1,V00499,P0023,1,132.95,39.88,93.07
SO000046-2,SO000046,2,V00733,P0047,1,89.95,13.49,76.46
SO000046-3,SO000046,3,V00719,P0040,1,339.95,0.00,339.95
