ReturnID,OrderID,OrderLineNumber,VariantID,ProductID,ReturnDate,ReturnStoreID,QuantityReturned,ReturnAmount,ReturnStatus,ReturnReasonID,RestockFlag
RT000001,SO000002,3,V00342,P0015,2025-01-12,ST001,1,131.97,Accepted,RR7,true
RT000002,SO000010,2,V00428,P0019,2025-01-20,ST006,2,351.33,Accepted,RR5,true
RT000003,SO000011,1,V00521,P0024,2025-01-14,ST007,1,110.65,Accepted,RR2,true
RT000004,SO000033,1,V00079,P0004,2025-01-06,ST004,1,240.95,Accepted,RR4,false
RT000005,SO000043,1,V00628,P0030,2025-01-28,ST012,1,120.55,Accepted,RR1,true
RT000006,SO000048,2,V00650,P0031,2025-01-14,ST016,1,64.56,Accepted,RR7,true
RT000007,SO000050,1,V00115,P0005,2025-01-24,ST002,1,133.95,Accepted,RR7,true
RT000008,SO000050,3,V00017,P0001,2025-01-09,ST017,1,231.16,Accepted,RR1,true
RT000009,SO000052,1,V00494,P0023,2025-01-13,ST002,1,132.95,Accepted,RR5,true
RT000010,SO000057,2,V00405,P0018,2025-01-08,ST011,1,180.95,Accepted,RR4,false
RT000011,SO000058,3,V00016,P0001,2025-01-05,ST001,1,190.37,Accepted,RR1,true
RT000012,SO000070,1,V00722,P0041,2025-02-17,ST008,1,180.16,Accepted,RR1,true
RT000013,SO000073,2,V00280,P0012,2025-01-22,ST010,1,70.17,Accepted,RR3,true
RT000014,SO000076,3,V00683,P0033,2025-01-20,ST011,1,41.61,Accepted,RR5,true
RT000015,SO000086,1,V00516,P0024,2025-02-05,ST002,1,104.51,Accepted,RR3,true
RT000016,SO000087,1,V00716,P0038,2025-01-12,ST006,1,476.95,Accepted,RR2,true
RT000017,SO000088,3,V00586,P0028,2025-01-12,ST001,1,93.95,Accepted,RR7,true
RT000018,SO000100,2,V00380,P0016,2025-01-23,ST006,1,186.11,Accepted,RR3,true
RT000019,SO000112,1,V00621,P0030,2025-01-25,ST011,1,133.95,Accepted,RR7,true
