TargetID,StoreID,TargetMonth,TargetNetSales
ST001-202501,ST001,2025-01-01,29820.00
ST001-202502,ST001,2025-02-01,27910.00
ST001-202503,ST001,2025-03-01,40220.00
ST001-202504,ST001,2025-04-01,45510.00
ST001-202505,ST001,2025-05-01,52310.00
ST001-202506,ST001,2025-06-01,53690.00
ST001-202507,ST001,2025-07-01,51930.00
ST001-202508,ST001,2025-08-01,47480.00
ST001-202509,ST001,2025-09-01,42620.00
ST001-202510,ST001,2025-10-01,41530.00
ST001-202511,ST001,2025-11-01,51480.00
ST001-202512,ST001,2025-12-01,58170.00
ST001-202601,ST001,2026-01-01,29330.00
ST001-202602,ST001,2026-02-01,27260.00
ST001-202603,ST001,2026-03-01,38820.00
ST001-202604,ST001,2026-04-01,45330.00
ST001-202605,ST001,2026-05-01,55500.00
ST001-202606,ST001,2026-06-01,51240.00
ST001-202607,ST001,2026-07-01,50680.00
ST001-202608,ST001,2026-08-01,48090.00
ST001-202609,ST001,2026-09-01,42000.00
ST001-202610,ST001,2026-10-01,41980.00
ST001-202611,ST001,2026-11-01,50180.00
ST001-202612,ST001,2026-12-01,58050.00
ST002-202501,ST002,2025-01-01,14340.00
ST002-202502,ST002,2025-02-01,13370.00
ST002-202503,ST002,2025-03-01,20160.00
ST002-202504,ST002,2025-04-01,22290.00
ST002-202505,ST002,2025-05-01,27170.00
ST002-202506,ST002,2025-06-01,26980.00
ST002-202507,ST002,2025-07-01,26410.00
ST002-202508,ST002,2025-08-01,24030.00
ST002-202509,ST002,2025-09-01,21260.00
ST002-202510,ST002,2025-10-01,21530.00
ST002-202511,ST002,2025-11-01,24940.00
ST002-202512,ST002,2025-12-01,27540.00
ST002-202601,ST002,2026-01-01,14410.00
ST002-202602,ST002,2026-02-01,13330.00
ST002-202603,ST002,2026-03-01,18890.00
ST002-202604,ST002,2026-04-01,22430.00
ST002-202605,ST002,2026-05-01,26760.00
ST002-202606,ST002,2026-06-01,26590.00
ST002-202607,ST002,2026-07-01,26030.00
ST002-202608,ST002,2026-08-01,23780.00
ST002-202609,ST002,2026-09-01,21840.00
ST002-202610,ST002,2026-10-01,21740.00
ST002-202611,ST002,2026-11-01,25400.00
ST002-202612,ST002,2026-12-01,28430.00
ST003-202501,ST003,2025-01-01,14870.00
ST003-202502,ST003,2025-02-01,13700.00
ST003-202503,ST003,2025-03-01,19870.00
ST003-202504,ST003,2025-04-01,22480.00
ST003-202505,ST003,2025-05-01,27310.00
ST003-202506,ST003,2025-06-01,27210.00
ST003-202507,ST003,2025-07-01,26040.00
ST003-202508,ST003,2025-08-01,24460.00
ST003-202509,ST003,2025-09-01,20930.00
ST003-202510,ST003,2025-10-01,21040.00
ST003-202511,ST003,2025-11-01,25060.00
ST003-202512,ST003,2025-12-01,27570.00
ST003-202601,ST003,2026-01-01,14970.00
ST003-202602,ST003,2026-02-01,13290.00
ST003-202603,ST003,2026-03-01,19660.00
ST003-202604,ST003,2026-04-01,22690.00
ST003-202605,ST003,2026-05-01,27280.00
ST003-202606,ST003,2026-06-01,25810.00
ST003-202607,ST003,2026-07-01,25680.00
ST003-202608,ST003,2026-08-01,24540.00
ST003-202609,ST003,2026-09-01,21420.00
ST003-202610,ST003,2026-10-01,21530.00
ST003-202611,ST003,2026-11-01,25650.00
ST003-202612,ST003,2026-12-01,28600.00
ST004-202501,ST004,2025-01-01,28860.00
ST004-202502,ST004,2025-02-01,26720.00
ST004-202503,ST004,2025-03-01,38710.00
ST004-202504,ST004,2025-04-01,44160.00
ST004-202505,ST004,2025-05-01,53510.00
ST004-202506,ST004,2025-06-01,53670.00
ST004-202507,ST004,2025-07-01,52610.00
ST004-202508,ST004,2025-08-01,49850.00
ST004-202509,ST004,2025-09-01,41760.00
ST004-202510,ST004,2025-10-01,42730.00
ST004-202511,ST004,2025-11-01,49640.00
ST004-202512,ST004,2025-12-01,57330.00
ST004-202601,ST004,2026-01-01,29440.00
ST004-202602,ST004,2026-02-01,27380.00
ST004-202603,ST004,2026-03-01,38730.00
ST004-202604,ST004,2026-04-01,43550.00
ST004-202605,ST004,2026-05-01,54140.00
ST004-202606,ST004,2026-06-01,53420.00
ST004-202607,ST004,2026-07-01,50110.00
ST004-202608,ST004,2026-08-01,47960.00
ST004-202609,ST004,2026-09-01,42200.00
ST004-202610,ST004,2026-10-01,43810.00
ST004-202611,ST004,2026-11-01,48930.00
ST004-202612,ST004,2026-12-01,58240.00
ST005-202501,ST005,2025-01-01,14800.00
ST005-202502,ST005,2025-02-01,13690.00
ST005-202503,ST005,2025-03-01,19360.00
ST005-202504,ST005,2025-04-01,21970.00
ST005-202505,ST005,2025-05-01,27220.00
ST005-202506,ST005,2025-06-01,27390.00
ST005-202507,ST005,2025-07-01,25980.00
ST005-202508,ST005,2025-08-01,24740.00
ST005-202509,ST005,2025-09-01,21590.00
ST005-202510,ST005,2025-10-01,21740.00
ST005-202511,ST005,2025-11-01,24700.00
ST005-202512,ST005,2025-12-01,28140.00
ST005-202601,ST005,2026-01-01,14970.00
ST005-202602,ST005,2026-02-01,14090.00
ST005-202603,ST005,2026-03-01,19800.00
ST005-202604,ST005,2026-04-01,22440.00
ST005-202605,ST005,2026-05-01,26690.00
ST005-202606,ST005,2026-06-01,26110.00
ST005-202607,ST005,2026-07-01,25530.00
ST005-202608,ST005,2026-08-01,24860.00
ST005-202609,ST005,2026-09-01,21960.00
ST005-202610,ST005,2026-10-01,21780.00
ST005-202611,ST005,2026-11-01,25420.00
ST005-202612,ST005,2026-12-01,27940.00
ST006-202501,ST006,2025-01-01,18220.00
ST006-202502,ST006,2025-02-01,17430.00
ST006-202503,ST006,2025-03-01,24990.00
ST006-202504,ST006,2025-04-01,27300.00
ST006-202505,ST006,2025-05-01,32960.00
ST006-202506,ST006,2025-06-01,33420.00
ST006-202507,ST006,2025-07-01,32770.00
ST006-202508,ST006,2025-08-01,30040.00
ST006-202509,ST006,2025-09-01,26150.00
ST006-202510,ST006,2025-10-01,26930.00
ST006-202511,ST006,2025-11-01,30820.00
ST006-202512,ST006,2025-12-01,35290.00
