InventoryID,StoreID,VariantID,ProductID,SnapshotDate,FloorQty,BackroomQty,OnHandQty,FloorMinQty,ReorderPoint
ST001-V00002,ST001,V00002,P0001,2026-08-31,1,4,5,3,9
ST001-V00003,ST001,V00003,P0001,2026-08-31,4,5,9,2,6
ST001-V00004,ST001,V00004,P0001,2026-08-31,6,13,19,6,18
ST001-V00006,ST001,V00006,P0001,2026-08-31,10,9,19,4,12
ST001-V00009,ST001,V00009,P0001,2026-08-31,4,10,14,6,18
ST001-V00011,ST001,V00011,P0001,2026-08-31,5,6,11,2,6
ST001-V00014,ST001,V00014,P0001,2026-08-31,5,3,8,4,12
ST001-V00015,ST001,V00015,P0001,2026-08-31,6,8,14,3,9
ST001-V00017,ST001,V00017,P0001,2026-08-31,16,5,21,6,18
ST001-V00019,ST001,V00019,P0001,2026-08-31,5,4,9,4,12
ST001-V00023,ST001,V00023,P0001,2026-08-31,4,3,7,2,6
ST001-V00025,ST001,V00025,P0002,2026-08-31,1,0,1,3,9
ST001-V00027,ST001,V00027,P0002,2026-08-31,0,4,4,2,6
ST001-V00029,ST001,V00029,P0002,2026-08-31,4,4,8,2,6
ST001-V00030,ST001,V00030,P0002,2026-08-31,2,6,8,3,9
ST001-V00031,ST001,V00031,P0002,2026-08-31,7,4,11,2,6
ST001-V00032,ST001,V00032,P0002,2026-08-31,3,5,8,2,6
ST001-V00033,ST001,V00033,P0002,2026-08-31,15,17,32,6,18
ST001-V00034,ST001,V00034,P0002,2026-08-31,8,6,14,3,9
ST001-V00035,ST001,V00035,P0002,2026-08-31,10,5,15,4,12
ST001-V00039,ST001,V00039,P0002,2026-08-31,7,6,13,4,12
ST001-V00040,ST001,V00040,P0002,2026-08-31,2,0,2,2,6
ST001-V00041,ST001,V00041,P0002,2026-08-31,2,1,3,2,6
ST001-V00042,ST001,V00042,P0002,2026-08-31,0,13,13,6,18
ST001-V00045,ST001,V00045,P0002,2026-08-31,4,7,11,2,6
ST001-V00046,ST001,V00046,P0002,2026-08-31,1,3,4,2,6
ST001-V00047,ST001,V00047,P0002,2026-08-31,8,0,8,4,12
ST001-V00048,ST001,V00048,P0002,2026-08-31,2,4,6,3,9
ST001-V00050,ST001,V00050,P0003,2026-08-31,2,0,2,2,6
ST001-V00051,ST001,V00051,P0003,2026-08-31,11,1,12,3,9
ST001-V00052,ST001,V00052,P0003,2026-08-31,5,0,5,4,12
ST001-V00054,ST001,V00054,P0003,2026-08-31,5,2,7,2,6
ST001-V00055,ST001,V00055,P0003,2026-08-31,9,0,9,3,9
ST001-V00058,ST001,V00058,P0003,2026-08-31,3,2,5,2,6
ST001-V00059,ST001,V00059,P0003,2026-08-31,5,0,5,2,6
ST001-V00060,ST001,V00060,P0003,2026-08-31,1,6,7,4,12
ST001-V00061,ST001,V00061,P0003,2026-08-31,5,2,7,2,6
ST001-V00062,ST001,V00062,P0003,2026-08-31,1,3,4,2,6
ST001-V00063,ST001,V00063,P0003,2026-08-31,5,4,9,2,6
ST001-V00064,ST001,V00064,P0003,2026-08-31,7,12,19,4,12
ST001-V00065,ST001,V00065,P0003,2026-08-31,6,10,16,4,12
ST001-V00067,ST001,V00067,P0003,2026-08-31,5,1,6,2,6
ST001-V00070,ST001,V00070,P0003,2026-08-31,4,0,4,2,6
ST001-V00071,ST001,V00071,P0003,2026-08-31,9,0,9,6,18
ST001-V00072,ST001,V00072,P0003,2026-08-31,7,9,16,6,18
ST001-V00075,ST001,V00075,P0004,2026-08-31,4,0,4,2,6
ST001-V00077,ST001,V00077,P0004,2026-08-31,8,13,21,4,12
ST001-V00081,ST001,V00081,P0004,2026-08-31,1,9,10,3,9
ST001-V00083,ST001,V00083,P0004,2026-08-31,4,7,11,3,9
ST001-V00084,ST001,V00084,P0004,2026-08-31,8,14,22,4,12
ST001-V00085,ST001,V00085,P0004,2026-08-31,9,6,15,4,12
ST001-V00086,ST001,V00086,P0004,2026-08-31,2,7,9,4,12
ST001-V00088,ST001,V00088,P0004,2026-08-31,11,6,17,3,9
ST001-V00089,ST001,V00089,P0004,2026-08-31,7,7,14,4,12
ST001-V00092,ST001,V00092,P0004,2026-08-31,13,1,14,4,12
ST001-V00096,ST001,V00096,P0004,2026-08-31,5,4,9,2,6
ST001-V00097,ST001,V00097,P0005,2026-08-31,9,3,12,3,9
ST001-V00098,ST001,V00098,P0005,2026-08-31,5,2,7,2,6
ST001-V00099,ST001,V00099,P0005,2026-08-31,4,6,10,2,6
ST001-V00101,ST001,V00101,P0005,2026-08-31,4,6,10,2,6
ST001-V00103,ST001,V00103,P0005,2026-08-31,7,6,13,4,12
ST001-V00104,ST001,V00104,P0005,2026-08-31,4,7,11,2,6
ST001-V00108,ST001,V00108,P0005,2026-08-31,4,3,7,2,6
ST001-V00109,ST001,V00109,P0005,2026-08-31,6,6,12,3,9
ST001-V00111,ST001,V00111,P0005,2026-08-31,6,7,13,2,6
ST001-V00112,ST001,V00112,P0005,2026-08-31,8,2,10,2,6
ST001-V00114,ST001,V00114,P0005,2026-08-31,6,8,14,2,6
ST001-V00120,ST001,V00120,P0005,2026-08-31,7,7,14,3,9
ST001-V00122,ST001,V00122,P0006,2026-08-31,6,3,9,3,9
ST001-V00124,ST001,V00124,P0006,2026-08-31,5,7,12,2,6
ST001-V00125,ST001,V00125,P0006,2026-08-31,3,7,10,3,9
ST001-V00126,ST001,V00126,P0006,2026-08-31,14,11,25,6,18
ST001-V00133,ST001,V00133,P0006,2026-08-31,4,2,6,2,6
ST001-V00134,ST001,V00134,P0006,2026-08-31,2,1,3,4,12
ST001-V00135,ST001,V00135,P0006,2026-08-31,3,11,14,3,9
ST001-V00136,ST001,V00136,P0006,2026-08-31,6,0,6,3,9
ST001-V00137,ST001,V00137,P0006,2026-08-31,0,0,0,2,6
ST001-V00138,ST001,V00138,P0006,2026-08-31,4,4,8,3,9
ST001-V00140,ST001,V00140,P0006,2026-08-31,10,3,13,3,9
ST001-V00142,ST001,V00142,P0006,2026-08-31,1,4,5,3,9
ST001-V00144,ST001,V00144,P0006,2026-08-31,6,2,8,2,6
ST001-V00147,ST001,V00147,P0007,2026-08-31,8,5,13,3,9
ST001-V00148,ST001,V00148,P0007,2026-08-31,4,4,8,2,6
ST001-V00150,ST001,V00150,P0007,2026-08-31,5,5,10,3,9
ST001-V00152,ST001,V00152,P0007,2026-08-31,12,3,15,3,9
ST001-V00154,ST001,V00154,P0007,2026-08-31,6,2,8,2,6
ST001-V00156,ST001,V00156,P0007,2026-08-31,7,0,7,4,12
ST001-V00159,ST001,V00159,P0007,2026-08-31,8,8,16,3,9
ST001-V00161,ST001,V00161,P0007,2026-08-31,5,2,7,2,6
ST001-V00162,ST001,V00162,P0007,2026-08-31,3,0,3,3,9
ST001-V00166,ST001,V00166,P0007,2026-08-31,2,2,4,2,6
ST001-V00167,ST001,V00167,P0007,2026-08-31,7,3,10,3,9
ST001-V00168,ST001,V00168,P0007,2026-08-31,7,12,19,4,12
ST001-V00169,ST001,V00169,P0008,2026-08-31,0,4,4,2,6
ST001-V00170,ST001,V00170,P0008,2026-08-31,4,1,5,2,6
ST001-V00171,ST001,V00171,P0008,2026-08-31,5,6,11,3,9
ST001-V00172,ST001,V00172,P0008,2026-08-31,4,0,4,2,6
ST001-V00175,ST001,V00175,P0008,2026-08-31,4,2,6,4,12
ST001-V00176,ST001,V00176,P0008,2026-08-31,4,3,7,3,9
ST001-V00180,ST001,V00180,P0008,2026-08-31,10,5,15,4,12
ST001-V00181,ST001,V00181,P0008,2026-08-31,9,8,17,3,9
ST001-V00183,ST001,V00183,P0008,2026-08-31,9,4,13,3,9
ST001-V00185,ST001,V00185,P0008,2026-08-31,9,2,11,3,9
ST001-V00192,ST001,V00192,P0008,2026-08-31,7,1,8,3,9
ST001-V00195,ST001,V00195,P0009,2026-08-31,6,0,6,2,6
ST001-V00196,ST001,V00196,P0009,2026-08-31,5,0,5,3,9
ST001-V00198,ST001,V00198,P0009,2026-08-31,4,3,7,3,9
ST001-V00199,ST001,V00199,P0009,2026-08-31,9,1,10,4,12
ST001-V00201,ST001,V00201,P0009,2026-08-31,0,14,14,4,12
ST001-V00203,ST001,V00203,P0009,2026-08-31,6,5,11,3,9
ST001-V00205,ST001,V00205,P0009,2026-08-31,8,5,13,3,9
ST001-V00208,ST001,V00208,P0009,2026-08-31,12,14,26,6,18
ST001-V00209,ST001,V00209,P0009,2026-08-31,8,1,9,3,9
ST001-V00213,ST001,V00213,P0009,2026-08-31,5,1,6,2,6
ST001-V00214,ST001,V00214,P0009,2026-08-31,8,4,12,3,9
ST001-V00215,ST001,V00215,P0009,2026-08-31,3,0,3,2,6
ST001-V00217,ST001,V00217,P0010,2026-08-31,4,8,12,4,12
ST001-V00221,ST001,V00221,P0010,2026-08-31,5,5,10,2,6
ST001-V00222,ST001,V00222,P0010,2026-08-31,5,3,8,2,6
