question_id,agent,run,status,timestamp_utc,answer_value,matches_oracle,stated_definition,cited_entities,rows_returned,latency_seconds,chat_reset,notes
Q1,lakehouse,1,NOT_RUN,,,,,,,,,
Q1,lakehouse,2,NOT_RUN,,,,,,,,,
Q1,lakehouse,3,NOT_RUN,,,,,,,,,
Q1,ontology,1,NOT_RUN,,,,,,,,,
Q1,ontology,2,NOT_RUN,,,,,,,,,
Q1,ontology,3,NOT_RUN,,,,,,,,,
Q2,lakehouse,1,NOT_RUN,,,,,,,,,
Q2,lakehouse,2,NOT_RUN,,,,,,,,,
Q2,lakehouse,3,NOT_RUN,,,,,,,,,
Q2,ontology,1,NOT_RUN,,,,,,,,,
Q2,ontology,2,NOT_RUN,,,,,,,,,
Q2,ontology,3,NOT_RUN,,,,,,,,,
Q3,lakehouse,1,NOT_RUN,,,,,,,,,
Q3,lakehouse,2,NOT_RUN,,,,,,,,,
Q3,lakehouse,3,NOT_RUN,,,,,,,,,
Q3,ontology,1,NOT_RUN,,,,,,,,,
Q3,ontology,2,NOT_RUN,,,,,,,,,
Q3,ontology,3,NOT_RUN,,,,,,,,,
Q4,lakehouse,1,NOT_RUN,,,,,,,,,
Q4,lakehouse,2,NOT_RUN,,,,,,,,,
Q4,lakehouse,3,NOT_RUN,,,,,,,,,
Q4,ontology,1,NOT_RUN,,,,,,,,,
Q4,ontology,2,NOT_RUN,,,,,,,,,
Q4,ontology,3,NOT_RUN,,,,,,,,,
Q5,lakehouse,1,NOT_RUN,,,,,,,,,
Q5,lakehouse,2,NOT_RUN,,,,,,,,,
Q5,lakehouse,3,NOT_RUN,,,,,,,,,
Q5,ontology,1,NOT_RUN,,,,,,,,,
Q5,ontology,2,NOT_RUN,,,,,,,,,
Q5,ontology,3,NOT_RUN,,,,,,,,,
Q6,lakehouse,1,NOT_RUN,,,,,,,,,
Q6,lakehouse,2,NOT_RUN,,,,,,,,,
Q6,lakehouse,3,NOT_RUN,,,,,,,,,
Q6,ontology,1,NOT_RUN,,,,,,,,,
Q6,ontology,2,NOT_RUN,,,,,,,,,
Q6,ontology,3,NOT_RUN,,,,,,,,,
